# This file should be in the working directory.
#
# Data from
# 'X-ray Data Booklet'
# Thompson, A.C. et al.
# Lawrence Berkeley National Laboratory, University of California, 2009,
# except those marked with *, adapted from 
# 'The Lund/LBNL Nuclear Data Search'
# Version 2.0, February 1999
# S.Y.F. Chu, L.P. Ekström and R.B. Firestone,
# and those marked with %, from fit to previouosly mentioned data.
#
# Photon energies and relative intensities of K-, L-, and M-shell lines, arranged by
# element. An intensity of 100 is assigned to the strongest line in each shell for each element.
#
# Z    Line     E (keV)   Relative intensity (%)
#------------------------------------------------
58 Ce  Kα1      34.72     100 
58 Ce  Kβ3      39.17     10 
58 Ce  Kβ1      39.257    19 
58 Ce  Kβ2      40.233    6 
59 Pr  Mα1      0.929     100 
59 Pr  Ll       4.453     4 
59 Pr  Lα2      5.013     11 
59 Pr  Lα1      5.034     100 
59 Pr  Lβ1      5.489     61 
59 Pr  Lβ2,15   5.85      21 
59 Pr  Lγ1      6.322     9 
59 Pr  Kα2      35.55     55 
59 Pr  Kα1      36.026    100 
59 Pr  Kβ3      40.653    10 
59 Pr  Kβ1      40.748    19 
59 Pr  Kβ2      41.773    6 
60 Nd  Mα1      0.978     100 
60 Nd  Ll       4.633     4 
60 Nd  Lα2      5.208     11 
60 Nd  Lα1      5.23      100 
60 Nd  Lβ1      5.722     60 
60 Nd  Lβ2,15   6.089     21 
60 Nd  Lγ1      6.602     10 
60 Nd  Kα2      36.847    55 
60 Nd  Kα1      37.361    100 
60 Nd  Kβ3      42.166    10 
60 Nd  Kβ1      42.271    19 
60 Nd  Kβ2      43.335    6 
61 Pm  Ll       4.809     4 
61 Pm  Lα2      5.408     11 
61 Pm  Lα1      5.432     100 
61 Pm  Lβ1      5.961     61 
61 Pm  Lβ2      6.339     21 
61 Pm  Lγ1      6.892     10 
61 Pm  Kα2      38.171    55 
61 Pm  Kα1      38.725    100 
61 Pm  Kβ3      43.713    10 
61 Pm  Kβ1      43.826    19 
61 Pm  Kβ2      44.942    6 
62 Sm  Mα1      1.081     100 
62 Sm  Ll       4.995     4 
62 Sm  Lα2      5.609     11 
62 Sm  Lα1      5.636     100 
62 Sm  Lβ1      6.205     61 
62 Sm  Lβ2,15   6.587     21 
62 Sm  Lγ1      7.178     10 
62 Sm  Kα2      39.522    55 
62 Sm  Kα1      40.118    100 
62 Sm  Kβ3      45.289    10 
62 Sm  Kβ1      45.413    19 
62 Sm  Kβ2      46.578    6 
63 Eu  Mα1      1.131     100 
63 Eu  Ll       5.177     4 
63 Eu  Lα2      5.817     11 
63 Eu  Lα1      5.846     100 
63 Eu  Lβ1      6.456     62 
63 Eu  Lβ2,15   6.843     21 
63 Eu  Lγ1      7.48      10 
63 Eu  Kα2      40.902    56 
63 Eu  Kα1      41.542    100 
63 Eu  Kβ3      46.904    10 
63 Eu  Kβ1      47.038    19 
63 Eu  Kβ2      48.256    6 
64 Gd  Mα1      1.185     100 
64 Gd  Ll       5.362     4 
64 Gd  Lα2      6.025     11 
64 Gd  Lα1      6.057     100 
64 Gd  Lβ1      6.713     62 
64 Gd  Lβ2,15   7.103     21 
64 Gd  Lγ1      7.786     11 
64 Gd  Kα2      42.309    56 
64 Gd  Kα1      42.996    100 
64 Gd  Kβ3      48.555    10 
64 Gd  Kβ1      48.697    20 
64 Gd  Kβ2      49.959    7 
65 Tb  Mα1      1.24      100 
65 Tb  Ll       5.547     4 
65 Tb  Lα2      6.238     11 
65 Tb  Lα1      6.273     100 
65 Tb  Lβ1      6.978     61 
65 Tb  Lβ2,15   7.367     21 
65 Tb  Lγ1      8.102     11 
65 Tb  Kα2      43.744    56 
65 Tb  Kα1      44.482    100 
65 Tb  Kβ3      50.229    10 
65 Tb  Kβ1      50.382    20 
65 Tb  Kβ2      51.698    7 
66 Dy  Mα1      1.293     100 
66 Dy  Ll       5.743     4 
66 Dy  Lα2      6.458     11 
66 Dy  Lα1      6.495     100 
66 Dy  Lβ1      7.248     62 
66 Dy  Lβ2      7.636     20 
66 Dy  Lγ1      8.419     11 
66 Dy  Kα2      45.208    56 
66 Dy  Kα1      45.998    100 
66 Dy  Kβ3      51.957    10 
66 Dy  Kβ1      52.119    20 
66 Dy  Kβ2      53.476    7 
67 Ho  Mα1      1.348     100 
67 Ho  Ll       5.943     4 
67 Ho  Lα2      6.679     11 
67 Ho  Lα1      6.72      100 
67 Ho  Lβ1      7.525     64 
67 Ho  Lβ2,15   7.911     20 
67 Ho  Lγ1      8.747     11 
67 Ho  Kα2      46.7      56 
67 Ho  Kα1      47.547    100 
67 Ho  Kβ3      53.711    11 
67 Ho  Kβ1      53.877    20 
67 Ho  Kβ2      55.293    7 
68 Er  Mα1      1.406     100 
68 Er  Ll       6.152     4 
68 Er  Lα2      6.905     11 
68 Er  Lα1      6.949     100 
68 Er  Lβ1      7.811     64 
68 Er  Lβ2,15   8.189     20 
68 Er  Lγ1      9.089     11 
68 Er  Kα2      48.221    56 
68 Er  Kα1      49.128    100 
68 Er  Kβ3      55.494    11 
68 Er  Kβ1      55.681    21 
68 Er  Kβ2      57.21     7 
69 Tm  Mα1      1.462     100 
